datetime,open,high,low,close,volume,trades
1640106000,48669.8,48827.7,48574.0,48633.4,3.14238265,85
1640109600,48611.2,48633.4,48431.8,48445.3,4.10640972,103
1640113200,48445.3,48630.6,48350.2,48628.5,15.48199251,123
1640116800,48628.6,48800.0,48493.8,48634.5,3.99665914,84
1640120400,48562.7,49145.3,48562.7,49077.2,13.03625163,121
1640124000,49087.2,49282.0,48978.0,49261.5,14.10415598,151
1640127600,49270.0,49289.1,48927.2,48927.2,5.52997148,97
1640131200,48899.1,48954.0,48674.7,48674.8,4.59062887,74
1640134800,48674.7,48833.5,48593.7,48831.8,0.61606423,42
1640138400,48773.7,49555.0,48752.5,49353.6,7.91108869,150
1640142000,49353.7,49383.4,49176.7,49228.7,4.55113354,93
1640145600,49238.1,49315.1,49128.0,49304.5,1.62458491,73
1640149200,49317.1,49317.1,48954.0,48961.9,1.22130765,67
1640152800,48968.6,49207.0,48962.8,49078.0,1.79484568,63
1640156400,49113.6,49305.2,49110.4,49233.9,3.87668622,93
1640160000,49241.6,49480.3,49144.1,49331.6,10.0500033,133
1640163600,49281.2,49320.5,48838.6,48871.1,14.22688186,169
1640167200,48931.2,49141.6,48883.9,49124.4,4.20865701,104
1640170800,49124.4,49210.4,48905.5,48974.9,5.37456816,121
1640174400,48998.6,49120.3,48555.0,48587.7,9.15757504,180
1640178000,48627.0,48769.3,48454.9,48550.9,8.40725081,198
1640181600,48547.4,48947.9,48547.4,48826.6,5.07254894,131
1640185200,48860.9,48901.9,48670.9,48900.3,3.00152769,137
1640188800,48886.7,49192.2,48777.1,48987.1,10.98118731,197
1640192400,48988.5,49088.8,48721.2,48734.9,4.00858855,130
1640196000,48729.9,48835.2,48551.3,48568.5,2.25794895,98
1640199600,48551.3,48937.4,48507.1,48919.4,1.7950354,87
1640203200,48926.5,49087.1,48881.7,48942.9,6.79865843,113
1640206800,48927.4,49140.0,48859.8,49056.5,2.82293839,66
1640210400,49046.2,49064.9,48811.2,48989.5,2.26447251,60
1640214000,48933.2,48933.2,48593.7,48603.3,3.15829347,101
1640217600,48618.9,48661.9,48086.4,48250.9,21.87555484,241
1640221200,48244.8,48450.0,48078.5,48450.0,0.97979202,33
1640224800,48461.6,48696.7,48392.9,48392.9,2.9635097,61
1640228400,48402.8,48541.4,48242.6,48541.4,2.38887722,45
1640232000,48527.6,48580.1,48363.6,48374.1,3.82429111,66
1640235600,48388.8,48556.8,48267.4,48387.4,0.41011109,29
1640239200,48374.9,48472.0,48286.8,48450.0,10.78862006,89
1640242800,48503.4,48503.4,48064.4,48134.3,0.65889867,67
1640246400,48163.4,48339.9,48144.9,48339.9,2.28937133,79
1640250000,48340.0,48389.2,48200.0,48389.2,2.65312221,91
1640253600,48398.0,48446.0,48230.6,48435.6,2.44193966,71
1640257200,48445.3,48531.9,48248.9,48384.6,4.02932522,109
1640260800,48435.0,48752.8,48350.3,48641.3,5.42024029,140
1640264400,48629.0,48829.0,48628.9,48670.0,8.81925866,133
1640268000,48659.6,48694.5,48479.5,48593.7,1.41749642,80
1640271600,48609.6,48800.0,48578.7,48800.0,5.11477749,90
1640275200,48799.9,49103.3,48707.7,49103.3,7.20557206,210
1640278800,49104.8,50124.0,49054.3,50054.7,68.34811818,582
